created_date,address,borough,status,latitude,longitude
2026-03-24 16:41:00,7220 6 AVENUE,BROOKLYN,Closed,40.63020874672,-74.01941124298
2026-03-24 15:55:00,,BROOKLYN,Closed,40.63578616028,-73.95952410259
2026-03-24 15:39:00,1530 COLEMAN STREET,BROOKLYN,Closed,40.61964719615,-73.93619941308
2026-03-24 15:03:00,1044 EASTERN PARKWAY,BROOKLYN,Started,40.66891726616,-73.93342707632
2026-03-24 14:07:00,611 EAST   19 STREET,BROOKLYN,Closed,40.6360002638,-73.95955279667
2026-03-24 13:44:00,182 JEFFERSON AVENUE,STATEN ISLAND,Closed,40.58227842731,-74.09998906087
2026-03-24 13:14:00,,BROOKLYN,Closed,40.62227532851,-73.93376177767
2026-03-24 12:45:00,71-33 PARK DRIVE EAST,QUEENS,Closed,40.72551560707,-73.82844022347
2026-03-24 12:24:00,147-53 WELLER LANE,QUEENS,Closed,40.65598421343,-73.7341992442
2026-03-24 11:43:00,147-53 WELLER LANE,QUEENS,Closed,40.65598421343,-73.7341992442
2026-03-24 11:23:00,617 EAST   11 STREET,MANHATTAN,Closed,40.72713733342,-73.97866275718
2026-03-24 10:46:00,739 PENNSYLVANIA AVENUE,BROOKLYN,Open,40.65948431106,-73.89130985887
2026-03-24 10:35:00,660 EAST TREMONT AVENUE,BRONX,Closed,40.84581761116,-73.89197405495
2026-03-24 10:02:00,,QUEENS,Closed,40.68959160209,-73.80732998105
2026-03-24 09:40:00,2167 EAST   19 STREET,BROOKLYN,Closed,40.59793271253,-73.95234517012
2026-03-24 09:35:00,32-41 46 STREET,QUEENS,Closed,40.75631449741,-73.91453061265
2026-03-24 09:25:00,147-53 WELLER LANE,QUEENS,Closed,40.65598421343,-73.7341992442
2026-03-24 09:03:00,24-23 37 STREET,QUEENS,Closed,40.76880757213,-73.91319325377
2026-03-24 08:16:00,611 EAST   19 STREET,BROOKLYN,Closed,40.6360002638,-73.95955279667
2026-03-24 08:16:00,92 CLAY STREET,BROOKLYN,Closed,40.73661631817,-73.95481518872
