asset_id,gi_id,borough,sewer_type,asset_type,status,status_group,constructed_date,outfall,nyc_waters,latitude,longitude
121878,3333a,Queens,MS4,ROWB,Constructed (Full Maintenance),Constructed,2022-06-09,JAM-003,Jamaica Bay and Tributaries,40.668831419710976,-73.82342793277277
154198,880b,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2017-12-31,BB-008,Flushing Bay,40.74349022796527,-73.86326404643857
181498,RG02,Bronx,Combined,Rain Garden,Constructed,Constructed,2024-07-23,HP-007,Bronx River,40.8683374545261,-73.86785044410573
182613,IB359A,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2022-09-30,BB-005,East River / Open Waters,40.75339322061696,-73.88750412047864
182198,IB1345A,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-06-29,26W-005,Jamaica Bay and Tributaries,40.69188597855737,-73.86567200213489
182192,IB1167A,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-06-29,26W-005,Jamaica Bay and Tributaries,40.69091229039469,-73.86794469475895
174826,IB5129B,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (In Guarantee),Constructed,2025-03-13,CI-005,Jamaica Bay and Tributaries,40.64494494952872,-73.9020049909005
122660,474,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2013-07-01,BB-006,Flushing Bay,40.73229101888162,-73.86199697503967
118231,321,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2015-08-15,26W-003,Jamaica Bay and Tributaries,40.66801998955995,-73.90471493593152
133483,IB1721c,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-06-24,TI-010,Flushing Creek,40.756234837021,-73.80192572504234
140896,IB1999B,Queens,Combined,ROW Infiltration Basin with Combination of Concrete and Grass Top,Constructed (Full Maintenance),Constructed,2021-12-15,TI-010,Flushing Creek,40.74414270805953,-73.78864690782237
181434,4-IB186g,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2022-07-16,RH-005,East River / Open Waters,40.6874448901676,-73.94600207876624
95785,31B,Bronx,Combined,ROWB,Constructed (Full Maintenance),Constructed,2020-10-22,HP-007,Bronx River,40.86577696096083,-73.85954151253645
173161,IB5063D,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.65241809508138,-73.93246814443089
136971,788b,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-12-28,NCQ-077,Newtown Creek,40.71771376182201,-73.90018614722274
170615,IB394E,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2020-10-14,JAM-003,Jamaica Bay and Tributaries,40.68450390874092,-73.82033191499069
184440,IB6042AA,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (In Guarantee),Constructed,2025-03-13,CI-005,Jamaica Bay and Tributaries,40.64779314922322,-73.91101719063033
188335,SS-4,Queens,MS4,Detention System,Constructed,Constructed,2018-05-01,1,East River / Open Waters,40.59892155873174,-73.75866118409999
159161,683b,Bronx,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-05-25,HP-024,Hutchinson River,40.89122675028384,-73.83297756282796
149977,204a,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2017-08-10,NCB-015,Newtown Creek,40.69238335415681,-73.91524574943529
99347,1256c,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-06-29,26W-004,Jamaica Bay and Tributaries,40.673451906364136,-73.8932734257092
173726,IB4090A,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.65150511164816,-73.94010861564762
183941,Q084-01STa,Queens,Combined,Synthetic Turf Field Storage Layer,Constructed,Constructed,2020-11-30,BB-003,East River / Open Waters,40.77119582815472,-73.90569573783601
135552,160c,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2017-06-30,NCQ-077,Newtown Creek,40.72884533176622,-73.89810984335882
117984,153c,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-01-15,26W-003,Jamaica Bay and Tributaries,40.67697555949796,-73.90189566007011
118471,465c,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2015-08-01,26W-003,Jamaica Bay and Tributaries,40.66438481718514,-73.90693430289126
187658,IB342a,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-10-31,TI-010,Flushing Creek,40.71823693419316,-73.82125041575236
117831,63d,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-01-15,26W-003,Jamaica Bay and Tributaries,40.68071585384867,-73.89412831116572
181619,IB1481A,Queens,Combined,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),Constructed,2020-08-09,JAM-005,Jamaica Bay and Tributaries,40.70919045594476,-73.73242216524869
148289,E-81b,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2017-12-22,JAM-003a,Jamaica Bay and Tributaries,40.69991956709076,-73.85271344459396
185246,3058B,Brooklyn,Combined,ROWB,Constructed (In Guarantee),Constructed,2025-03-13,CI-005,Jamaica Bay and Tributaries,40.64054237495994,-73.90895053914947
100713,2273f,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-07-21,26W-004,Jamaica Bay and Tributaries,40.66049240306708,-73.88144589754147
121664,3142b,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2022-06-09,JAM-003a,Jamaica Bay and Tributaries,40.6704449415279,-73.8037078287591
140860,IB1986B,Queens,Combined,ROW Infiltration Basin with Combination of Concrete and Grass Top,Constructed (Full Maintenance),Constructed,2021-12-15,TI-010,Flushing Creek,40.74309276213904,-73.78872512093864
127868,1-IB183b,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2020-06-09,NCB-014,East River / Open Waters,40.67160757638823,-73.93247842788982
159166,775c,Bronx,Combined,ROWRG,Constructed (Full Maintenance),Constructed,2016-05-25,HP-024,Hutchinson River,40.88506116942321,-73.83891166809346
136340,533d,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-12-28,NCQ-077,Newtown Creek,40.70858492256216,-73.900151343366
138299,ROO2-05SRa,Brooklyn,Combined,Subsurface Storage,Constructed (Full Maintenance),Constructed,2022-05-15,NCB-015,Newtown Creek,40.6942249996668,-73.93549166594191
181833,IB2101G,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.65812279897708,-73.94685194783915
182897,IB505a,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2022-12-30,BB-005,East River / Open Waters,40.75765802295789,-73.90166660486068
182169,IB3014E,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.66303680424729,-73.94078335872045
182299,IB3225a,Queens,Combined,ROW Infiltration Basin with Combination of Concrete and Grass Top,Constructed (Full Maintenance),Constructed,2022-08-31,TI-010,Flushing Creek,40.748077566916784,-73.8119785524153
158339,136A,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2022-12-30,BB-005,East River / Open Waters,40.73060807866716,-73.89114582642769
123344,200B,Bronx,Combined,ROWB,Constructed (Full Maintenance),Constructed,2014-06-01,HP-008,Bronx River,40.821568242457786,-73.87900046222462
121820,3275c,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2022-06-09,JAM-003a,Jamaica Bay and Tributaries,40.66872808819922,-73.81460536541299
188013,IB1496b,Queens,Combined,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),Constructed,2021-11-02,TI-010,Flushing Creek,40.73874148250681,-73.82502044034565
104595,276A,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-09-15,RH-034,Gowanus Canal,40.68095067537112,-73.96741642673715
147969,JRRC-GR-1,Manhattan,Combined,Green Roof,Constructed,Constructed,2010-09-01,WIM-046,East River / Open Waters,40.82421106822059,-73.94251083980977
172881,IB4076F,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.65248064793507,-73.94302849171622
188751,HROS-03SS,Staten Island,MS4,Subsurface Storage,Constructed,Constructed,2023-03-08,OB-678,East River / Open Waters,40.59618801181343,-74.07628391027168
143353,1561-1A,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2019-10-21,TI-011,Flushing Creek,40.76935305068177,-73.81455928551418
