SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,DEC Region,County,Latitude,Longitude
NY0026247,12,NY0026247-012,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.862941,-73.915653
NY0026204,29,NY0026204-029,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.726529,-73.927287
NY0026191,16,NY0026191-016,NYCDEP - Hunt's Point WPCP,NYC DEP,Westchester Creek,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.828342,-73.84222
NY0026158,36,NY0026158-036,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.784186,-73.91726
NY0026166,7,NY0026166-007,NYCDEP - Owls Head WPCP,NYC DEP,Gowanus Canal,16,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.675536,-73.990946
NY0026182,5,NY0026182-005,NYCDEP - Coney Island WPCP,NYC DEP,Paerdegat Basin,4,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.631845,-73.917037
NY0027073,16,NY0027073-016,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.690488,-74.000786
NY0026158,18,NY0026158-018,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.744421,-73.959004
NY0026239,7,NY0026239-007,NYCDEP - Tallmans Island WPCP,NYC DEP,Alley Creek,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.763016,-73.751822
NY0026204,55,NY0026204-055,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.721312,-73.972831
NY0026204,49,NY0026204-049,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.731463,-73.973463
NY0027073,10,NY0027073-010,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.700068,-73.997232
NY0026204,69,NY0026204-069,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.701505,-74.011036
NY0026239,9,NY0026239-009,NYCDEP - Tallmans Island WPCP,NYC DEP,Little Neck Basin,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.767458,-73.751594
NY0026131,37,NY0026131-037,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.806913,-73.932992
NY0026239,8,NY0026239-008,NYCDEP - Tallmans Island WPCP,NYC DEP,Alley Creek,22,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.761874,-73.751047
NY0026191,33,NY0026191-033,NYCDEP - Hunt's Point WPCP,NYC DEP,Westchester Creek,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.827985,-73.842681
NY0026131,15,NY0026131-015,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.779841,-73.943467
NY0026191,23,NY0026191-023,NYCDEP - Hunt's Point WPCP,NYC DEP,Hutchinson River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.880442,-73.821426
NY0027073,20,NY0027073-020,NYCDEP - Red Hook WPCP,NYC DEP,Buttermilk Street,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.686844,-74.006387
NY0026166,21,NY0026166-021,NYCDEP - Owls Head WPCP,NYC DEP,Gravesend Bay,16,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.583312,-73.983789
NY0026212,3,NY0026212-003,NYCDEP - 26th Ward,NYC DEP,Fresh Creek Basin,4,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.649287,-73.890436
NY0026158,23,NY0026158-023,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.749765,-73.955992
NY0026247,36,NY0026247-036,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.773957,-73.996092
NY0026247,45,NY0026247-045,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.859244,-73.920553
NY0026204,87,NY0026204-087,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.734297,-73.974192
NY0026115,5,NY0026115-005,NYCDEP - Jamaica WPCP,NYC DEP,Thurston Basin,6,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.647621,-73.75491
NY0026158,5,NY0026158-005,NYCDEP - Bowery Bay WPCP,NYC DEP,Flushing Bay,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.77355,-73.889351
NY0026131,46,NY0026131-046,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.824793,-73.934319
NY0026247,1,NY0026247-001,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.825413,-73.958386
NY0026158,10,NY0026158-010,NYCDEP - Bowery Bay WPCP,NYC DEP,Dutch Kills,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.739439,-73.941434
NY0026247,18,NY0026247-018,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.85712,-73.921562
NY0026166,4,NY0026166-004,NYCDEP - Owls Head WPCP,NYC DEP,Upper New York Bay,16,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.655417,-74.016999
NY0026166,25,NY0026166-025,NYCDEP - Owls Head WPCP,NYC DEP,Gowanus Bay,16,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.661944,-74.006317
NY0026107,33,NY0026107-033,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.643832,-74.113018
NY0026107,6,NY0026107-006,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.64536,-74.098394
NY0026158,25,NY0026158-025,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.75745,-73.949047
NY0026158,29,NY0026158-029,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.768592,-73.937797
NY0026239,24,NY0026239-024,NYCDEP - Tallmans Island WPCP,NYC DEP,Alley Pond (S),22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.756631,-73.744619
NY0026131,2,NY0026131-002,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.766428,-73.950643
NY0027073,40,NY0027073-040,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.703349,-73.977437
NY0026191,37,NY0026191-037,NYCDEP - Hunt's Point WPCP,NYC DEP,Shore Road Lagoon,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.866847,-73.801464
NY0026131,26,NY0026131-026,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.793663,-73.931902
NY0026191,32,NY0026191-032,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.797506,-73.886212
NY0026204,77,NY0026204-077,NYCDEP - Newtown Creek WPCP,NYC DEP,Hudson River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.723602,-73.920403
NY0026107,28,NY0026107-028,NYCDEP - Port Richmond WPCF,NYC DEP,Newark Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.63745,-74.148536
NY0026221,9,NY0026221-009,NYCDEP - Rockaway WWTP,NYC DEP,Jamaica Bay,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.586967,-73.821109
NY0026204,31,NY0026204-031,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.764524,-73.952349
NY0026247,5,NY0026247-005,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.857649,-73.939398
NY0026166,20,NY0026166-020,NYCDEP - Owls Head WPCP,NYC DEP,Upper New York Bay,16,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.639076,-74.036789
NY0026107,4,NY0026107-004,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.645553,-74.108859
NY0026204,14,NY0026204-014,NYCDEP - Newtown Creek WPCP,NYC DEP,Wallabout Bay,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.705196,-73.969288
NY0026247,42,NY0026247-042,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.809146,-73.968571
NY0026191,24,NY0026191-024,NYCDEP - Hunt's Point WPCP,NYC DEP,Hutchinson River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.887805,-73.824326
NY0027073,31,NY0027073-031,NYCDEP - Red Hook WPCP,NYC DEP,Gowanus Canal,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.671423,-73.998917
NY0026191,12,NY0026191-012,NYCDEP - Hunt's Point WPCP,NYC DEP,Westchester Creek,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.82432,-73.840977
NY0026247,38,NY0026247-038,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.786617,-73.984609
NY0026191,31,NY0026191-031,NYCDEP - Hunt's Point WPCP,NYC DEP,Hutchinson River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.873797,-73.823608
NY0026166,19,NY0026166-019,NYCDEP - Owls Head WPCP,NYC DEP,Upper New York Bay,16,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.63683,-74.037824
NY0026107,15,NY0026107-015,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.625783,-74.072463
NY0027073,19,NY0027073-019,NYCDEP - Red Hook WPCP,NYC DEP,Buttermilk Channel,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.686384,-74.008212
NY0026131,19,NY0026131-019,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.785349,-73.93977
NY0027073,24,NY0027073-024,NYCDEP - Red Hook WPCP,NYC DEP,Atlantic Basin,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.681319,-74.01197
NY0026158,24,NY0026158-024,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.75381,-73.952033
NY0026212,4,NY0026212-004,NYCDEP - 26th Ward,NYC DEP,Fresh Creek Basin,4,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.654431,-73.879673
NY0027073,28,NY0027073-028,NYCDEP - Red Hook WPCP,NYC DEP,Buttermilk Channel,32,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.680565,-74.017675
NY0026239,11,NY0026239-011,NYCDEP - Tallmans Island WPCP,NYC DEP,Flushing River,22,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.765967,-73.839083
NY0026247,21,NY0026247-021,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.739215,-74.011388
NY0026239,15,NY0026239-015,NYCDEP - Tallmans Island WPCP,NYC DEP,Flushing Bay,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.780149,-73.850313
NY0026158,28,NY0026158-028,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.76152,-73.945683
NY0026247,29,NY0026247-029,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.761946,-74.004823
NY0027073,5,NY0027073-005,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.705778,-73.982364
NY0026204,15,NY0026204-015,NYCDEP - Newtown Creek WPCP,NYC DEP,English Kills,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.708705,-73.930411
NY0026131,69,NY0026131-069,NYCDEP - Wards Island WPCP,NYC DEP,Bronk Kills,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.799084,-73.919256
NY0026107,11,NY0026107-011,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.646928,-74.076596
NY0026158,43,NY0026158-043,NYCDEP - Bowery Bay WPCP,NYC DEP,Newtown Creek,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.739509,-73.952275
NY0026191,1,NY0026191-001,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.802284,-73.882468
NY0026239,14,NY0026239-014,NYCDEP - Tallmans Island WPCP,NYC DEP,Flushing Bay,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.778595,-73.849459
NY0027073,11,NY0027073-011,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.696134,-73.999559
NY0026131,21,NY0026131-021,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.787134,-73.938179
NY0026158,15,NY0026158-015,NYCDEP - Bowery Bay WPCP,NYC DEP,Newtown Creek,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.739435,-73.957651
NY0027073,18,NY0027073-018,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.688716,-74.004217
NY0026131,43,NY0026131-043,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.785909,-73.939225
NY0026221,29,NY0026221-029,NYCDEP - Rockaway WWTP,NYC DEP,Jamaica Bay,10,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.584802,-73.828716
NY0026182,6,NY0026182-006,NYCDEP - Coney Island WPCP,NYC DEP,Paerdegat Basin,4,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.630958,-73.917227
NY0026239,12,NY0026239-012,NYCDEP - Tallmans Island WPCP,NYC DEP,Flushing River,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.772002,-73.849737
NY0026204,73,NY0026204-073,NYCDEP - Newtown Creek WPCP,NYC DEP,Hudson River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.718568,-74.016713
NY0026247,11,NY0026247-011,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.864335,-73.914565
NY0027073,38,NY0027073-038,NYCDEP - Red Hook WPCP,NYC DEP,Gowanus Canal,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.680677,-73.987325
NY0027073,30,NY0027073-030,NYCDEP - Red Hook WPCP,NYC DEP,Gowanus Canal,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.6686,-74.007369
NY0026247,4,NY0026247-004,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.845897,-73.946492
NY0026107,1,NY0026107-001,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.641355,-74.124855
NY0026158,3,NY0026158-003,NYCDEP - Bowery Bay WPCP,NYC DEP,Bowery Bay,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.776428,-73.889714
NY0026204,38,NY0026204-038,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.74543,-73.970014
NY0027073,29,NY0027073-029,NYCDEP - Red Hook WPCP,NYC DEP,Upper New York Bay,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.673609,-74.017296
NY0026131,20,NY0026131-020,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.786454,-73.938789
NY0026247,25,NY0026247-025,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.750772,-74.010859
NY0026204,36,NY0026204-036,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.752215,-73.964249
NY0026131,11,NY0026131-011,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.774287,-73.943268
NY0026131,45,NY0026131-045,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.822713,-73.934127
NY0026204,67,NY0026204-067,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.704939,-74.004394
NY0026191,17,NY0026191-017,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.811459,-73.826432
NY0026131,27,NY0026131-027,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.794183,-73.930967
NY0026204,74,NY0026204-074,NYCDEP - Newtown Creek WPCP,NYC DEP,Hudson River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.722987,-74.01225
NY0026107,18,NY0026107-018,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.620807,-74.069175
NY0026131,63,NY0026131-063,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.827913,-73.9331
NY0027073,13,NY0027073-013,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.694203,-74.000326
NY0026107,13,NY0026107-013,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.637955,-74.072603
NY0026166,5,NY0026166-005,NYCDEP - Owls Head WPCP,NYC DEP,Gowanus Canal,16,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.678044,-73.989013
NY0026191,22,NY0026191-022,NYCDEP - Hunt's Point WPCP,NYC DEP,Eastchester Bay,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.815666,-73.797754
NY0026239,3,NY0026239-003,NYCDEP - Tallmans Island WPCP,NYC DEP,Powell's Cove,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.792975,-73.829274
NY0026204,10,NY0026204-010,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.716524,-73.967232
NY0026131,68,NY0026131-068,NYCDEP - Wards Island WPCP,NYC DEP,Bronx Kills,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.802433,-73.92299
NY0026247,52,NY0026247-052,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.75672,-74.005843
NY0027073,35,NY0027073-035,NYCDEP - Red Hook WPCP,NYC DEP,Gowanus Canal,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.676106,-73.992566
NY0026247,33,NY0026247-033,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.76599,-73.997994
NY0026221,33,NY0026221-033,NYCDEP - Rockaway WWTP,NYC DEP,Beach Channel,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.584879,-73.828536
NY0026204,70,NY0026204-070,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.704293,-74.017521
NY0026247,56,NY0026247-056,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.825786,-73.955084
NY0026166,22,NY0026166-022,NYCDEP - Owls Head WPCP,NYC DEP,Gowanus Bay,16,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.660117,-74.007959
NY0026204,37,NY0026204-037,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.747323,-73.968487
NY0026107,26,NY0026107-026,NYCDEP - Port Richmond WPCF,NYC DEP,Newark Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.639921,-74.159905
NY0026239,19,NY0026239-019,NYCDEP - Tallmans Island WPCP,NYC DEP,East River,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.78911,-73.854464
NY0027073,37,NY0027073-037,NYCDEP - Red Hook WPCP,NYC DEP,Gowanus Canal,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.680033,-73.987739
NY0026131,71,NY0026131-071,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.801458,-73.906184
NY0026131,65,NY0026131-065,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.810433,-73.932813
NY0026204,3,NY0026204-003,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.7295,-73.961212
NY0026191,6,NY0026191-006,NYCDEP - Hunt's Point WPCP,NYC DEP,Eastchester Bay,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.868831,-73.821784
NY0026131,8,NY0026131-008,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.77016,-73.947458
NY0026204,1,NY0026204-001,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.731759,-73.965487
NY0026131,44,NY0026131-044,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.819498,-73.933825
NY0026107,10,NY0026107-010,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.648648,-74.084232
NY0026204,16,NY0026204-016,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.750479,-73.96584
NY0027073,12,NY0027073-012,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.703168,-73.995035
NY0026204,80,NY0026204-080,NYCDEP - Newtown Creek WPCP,NYC DEP,Hudson River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.727181,-74.011496
NY0026191,29,NY0026191-029,NYCDEP - Hunt's Point WPCP,NYC DEP,Eastchester Bay,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.848635,-73.815786
NY0026115,1,NY0026115-001,NYCDEP - Jamaica WPCP,NYC DEP,JAMAICA BAY,6,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.631147,-73.798198
NY0026247,10,NY0026247-010,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.865545,-73.913269
NY0026131,31,NY0026131-031,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.796685,-73.929067
NY0026158,53,NY0026158-053,NYCDEP - Bowery Bay WPCP,NYC DEP,Hellgate (E),44,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.786116,-73.915344
NY0026204,78,NY0026204-078,NYCDEP - Newtown Creek WPCP,NYC DEP,Maspeth Creek,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.707705,-73.999525
NY0026131,72,NY0026131-072,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.804945,-73.902216
NY0026158,30,NY0026158-030,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.771194,-73.934921
NY0026247,50,NY0026247-050,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.740715,-74.011131
