SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,DEC Region,County,Latitude,Longitude
NY0026247,7,NY0026247-007,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.874798,-73.919155
NY0026166,2,NY0026166-002,NYCDEP - Owls Head WPCP,NYC DEP,Upper New York Bay,16,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.644815,-74.03112
NY0026131,54,NY0026131-054,NYCDEP - Wards Island WPCP,NYC DEP,Hudson River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.897462,-73.916723
NY0026239,1,NY0026239-001,NYCDEP - Tallmans Island WPCP,NYC DEP,East River (S),22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.797684,-73.840368
NY0026107,9,NY0026107-009,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.647321,-74.089374
NY0026191,34,NY0026191-034,NYCDEP - Hunt's Point WPCP,NYC DEP,Westchester Creek,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.834936,-73.839619
NY0026131,58,NY0026131-058,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.855805,-73.920327
NY0026131,13,NY0026131-013,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.777674,-73.942547
NY0026107,5,NY0026107-005,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.645504,-74.106785
NY0026166,17,NY0026166-017,NYCDEP - Owls Head WPCP,NYC DEP,Upper New York Bay,16,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.620603,-74.041683
NY0026166,15,NY0026166-015,NYCDEP - Owls Head WPCP,NYC DEP,Gravesend Bay,16,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.601391,-74.012373
NY0026131,12,NY0026131-012,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.776365,-73.941981
NY0026247,43,NY0026247-043,NYCDEP - North River WPCF,NYC DEP,HudsonRiver,52,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.818075,-73.962032
NY0026204,39,NY0026204-039,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.744955,-73.970373
NY0026131,1,NY0026131-001,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.786525,-73.920712
NY0026131,17,NY0026131-017,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.782584,-73.943387
NY0026107,14,NY0026107-014,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.630713,-74.073062
NY0026204,48,NY0026204-048,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.733067,-73.9736
NY0026191,7,NY0026191-007,NYCDEP - Hunt's Point WPCP,NYC DEP,Bronx River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.83899,-73.87864
NY0026247,23,NY0026247-023,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.745849,-74.011499
NY0026158,17,NY0026158-017,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.7438,-73.959689
NY0026107,17,NY0026107-017,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.622499,-74.070628
NY0026212,1,NY0026212-001,NYCDEP - 26th Ward,NYC DEP,Hendrix Canal,4,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.65072,-73.87688
NY0026204,64,NY0026204-064,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.709233,-73.993875
NY0026247,35,NY0026247-035,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.77111,-73.995319
NY0026131,38,NY0026131-038,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.811293,-73.93421
