fid,source,data_type,elev_ft,depth_ft,latitude,longitude
164,USGS/NWIS,Water/Monitoring Well,-385.0,431.72,40.746944,-73.796111
166,USGS/NWIS,Water/Monitoring Well,-471.0,690.354,40.768611,-73.718889
167,USGS/NWIS,Water/Monitoring Well,-616.0,744.25,40.758889,-73.7025
170,USGS/NWIS,Water/Monitoring Well,-1455.0,1464.4159,40.584722,-73.670278
171,USGS/NWIS,Water/Monitoring Well,-1442.0,1450.10358,40.584722,-73.672778
172,USGS/NWIS,Water/Monitoring Well,-1459.0,1466.84111,40.588889,-73.638889
199,USGS/NWIS,Water/Monitoring Well,-297.0,302.77421,40.896389,-73.631944
200,USGS/NWIS,Water/Monitoring Well,-337.0,425.516,40.888056,-73.631667
201,USGS/NWIS,Water/Monitoring Well,-461.0,602.206,40.867778,-73.609444
202,USGS/NWIS,Water/Monitoring Well,-405.0,492.827,40.860278,-73.651667
204,USGS/NWIS,Water/Monitoring Well,-501.0,623.99,40.714722,-73.803611
205,USGS/NWIS,Water/Monitoring Well,-506.0,704.587,40.840833,-73.631111
206,USGS/NWIS,Water/Monitoring Well,-502.0,634.61,40.857778,-73.618333
210,USGS/NWIS,Water/Monitoring Well,-358.0,357.50788,40.849167,-73.6725
211,USGS/NWIS,Water/Monitoring Well,-448.0,633.07,40.815278,-73.675833
212,USGS/NWIS,Water/Monitoring Well,-199.0,251.3616,40.861944,-73.726667
229,USGS/NWIS,Water/Monitoring Well,-464.0,668.591,40.801667,-73.686389
234,USGS/NWIS,Water/Monitoring Well,-488.0,569.5935,40.775278,-73.704167
257,USGS/NWIS,Water/Monitoring Well,-588.0,611.75,40.694722,-73.788056
259,USGS/NWIS,Water/Monitoring Well,-163.0,209.62,40.681944,-73.977222
260,USGS/NWIS,Water/Monitoring Well,-281.0,301.96,40.733611,-73.874722
262,USGS/NWIS,Water/Monitoring Well,-106.0,175.47,40.7425,-73.926667
263,USGS/NWIS,Water/Monitoring Well,11.0,3.04,40.756944,-73.944444
21,USGS/NWIS,Water/Monitoring Well,-143.0,161.9,40.701944,-73.963333
2,USGS/NWIS/GeoLog,Water/Monitoring Well,-533.0,545.55,40.604444,-73.931111
11,USGS/NWIS/GeoLog,Water/Monitoring Well,-123.0,135.19,40.719444,-73.950556
133,USGS/NWIS/GeoLog,Water/Monitoring Well,-173.0,202.79,40.727222,-73.903333
138,USGS/NWIS/GeoLog,Water/Monitoring Well,-672.0,677.32,40.649722,-73.8275
152,USGS/NWIS/GeoLog,Water/Monitoring Well,-602.0,634.23,40.681111,-73.803611
154,USGS/NWIS/GeoLog,Water/Monitoring Well,-905.0,910.99,40.659722,-73.763611
156,USGS/NWIS/GeoLog,HVSR Soundings,-1075.0,1083.77,40.613611,-73.760556
157,USGS/NWIS/GeoLog,Water/Monitoring Well,-1199.0,1206.41007,40.588056,-73.748889
168,USGS/NWIS/GeoLog,Water/Monitoring Well,-1146.0,1160.6652,40.645556,-73.690833
173,USGS/NWIS/GeoLog,Water/Monitoring Well,-1414.0,1424.5314,40.628333,-73.605833
177,USGS/NWIS/GeoLog,Water/Monitoring Well,-1316.0,1330.698,40.6575,-73.601389
203,USGS/NWIS/GeoLog,Water/Monitoring Well,-432.0,467.4983,40.850556,-73.650833
208,USGS/NWIS/GeoLog,Water/Monitoring Well,-402.0,437.05,40.619167,-73.971944
209,USGS/NWIS/GeoLog,Water/Monitoring Well,-141.0,164.9498,40.863889,-73.721944
514,USGS/NWIS/GeoLog,Water/Monitoring Well,-1441.0,1449.00515,40.584722,-73.672778
516,USGS/NWIS/GeoLog,Water/Monitoring Well,-1534.0,1541.21776,40.586389,-73.630556
784,USGS/NWIS/GeoLog,Water/Monitoring Well,-1074.0,1084.4,40.613611,-73.760556
368,USGS/NWIS,Water/Monitoring Well,-211.05,343.05,40.543056,-74.198611
369,USGS/NWIS,Water/Monitoring Well,-261.05,275.33,40.5575,-74.1275
370,USGS/NWIS,Water/Monitoring Well,-48.05,57.5,40.5775,-74.1975
394,USGS/NWIS,Water/Monitoring Well,-97.05,110.87,40.571944,-74.143889
484,USGS/NWIS,Water/Monitoring Well,253.95,43.03,40.591667,-74.130556
713,USGS/NWIS,Water/Monitoring Well,-0.05,33.33,40.634722,-74.145556
737,USGS/NWIS,Water/Monitoring Well,14.95,66.17,40.628333,-74.120833
747,USGS/NWIS,Water/Monitoring Well,46.95,74.42,40.628889,-74.116111
748,USGS/NWIS,Water/Monitoring Well,102.95,23.76,40.631111,-74.111389
749,USGS/NWIS,Water/Monitoring Well,37.95,99.45,40.630833,-74.109167
795,USGS/NWIS,Water/Monitoring Well,-36.05,44.61672,40.635278,-74.196389
6825,USGS/NWIS,Water/Monitoring Well,-15.05,34.88,40.739167,-74.0025
8622,USGS/NWIS,Water/Monitoring Well,-54.05,62.5,40.749444,-74.005
11014,USGS/NWIS,Water/Monitoring Well,-26.05,35.49,40.809722,-73.930833
11638,USGS/NWIS,Water/Monitoring Well,-86.05,108.17,40.821667,-73.943056
11688,USGS/NWIS,Water/Monitoring Well,-23.05,38.31,40.831667,-73.938889
12269,USGS/NWIS,Water/Monitoring Well,112.95,24.63,40.839444,-73.944444
12605,USGS/NWIS,Water/Monitoring Well,-20.05,48.53,40.842222,-73.903889
13263,USGS/NWIS,Water/Monitoring Well,-22.05,42.12,40.865278,-73.926667
13836,USGS/NWIS,Water/Monitoring Well,-47.05,74.94,40.872778,-73.911944
13947,USGS/NWIS,Water/Monitoring Well,-205.05,225.33,40.885833,-73.9025
14296,USGS/NWIS,Water/Monitoring Well,38.95,70.61,40.894167,-73.861389
68,USGS/NWIS,Water/Monitoring Well,-162.0,199.67,40.714722,-73.943056
69,USGS/NWIS,Water/Monitoring Well,-179.0,196.54,40.716667,-73.936944
72,USGS/NWIS,Water/Monitoring Well,-112.0,129.41,40.721389,-73.956944
76,USGS/NWIS,Water/Monitoring Well,-49.0,57.75,40.741667,-73.957778
77,USGS/NWIS,Water/Monitoring Well,-38.0,42.2,40.743056,-73.951667
82,USGS/NWIS,Water/Monitoring Well,-73.0,92.57,40.757222,-73.936389
83,USGS/NWIS,Water/Monitoring Well,-67.0,88.69,40.751667,-73.931667
84,USGS/NWIS,Water/Monitoring Well,-85.0,136.57,40.748056,-73.925833
85,USGS/NWIS,Water/Monitoring Well,-70.0,147.68,40.746111,-73.926389
86,USGS/NWIS,Water/Monitoring Well,-68.0,143.22,40.745556,-73.926389
87,USGS/NWIS,Water/Monitoring Well,-82.0,123.53,40.750556,-73.919444
88,USGS/NWIS,Water/Monitoring Well,-29.0,62.33,40.752222,-73.924722
91,USGS/NWIS,Water/Monitoring Well,-61.0,102.93,40.755,-73.9225
92,USGS/NWIS,Water/Monitoring Well,-84.0,134.24,40.758056,-73.92
93,USGS/NWIS,Water/Monitoring Well,-4.0,68.82,40.760833,-73.9175
94,USGS/NWIS,Water/Monitoring Well,-51.0,100.37,40.756111,-73.913056
95,USGS/NWIS,Water/Monitoring Well,-10.0,82.38,40.763611,-73.915278
96,USGS/NWIS,Water/Monitoring Well,-14.0,50.0,40.775556,-73.925
97,USGS/NWIS,Water/Monitoring Well,-13.0,91.53,40.766389,-73.913056
98,USGS/NWIS,Water/Monitoring Well,-43.0,112.38,40.763611,-73.906667
110,USGS/NWIS,Water/Monitoring Well,-169.0,220.7,40.730833,-73.934722
112,USGS/NWIS,Water/Monitoring Well,-119.0,180.32,40.730833,-73.932778
113,USGS/NWIS,Water/Monitoring Well,-86.0,149.23,40.740278,-73.9275
114,USGS/NWIS,Water/Monitoring Well,-64.0,143.87,40.743889,-73.922222
115,USGS/NWIS,Water/Monitoring Well,-65.0,128.78,40.746111,-73.916667
125,USGS/NWIS,Water/Monitoring Well,-218.0,274.94,40.743056,-73.8725
140,USGS/NWIS,Water/Monitoring Well,-201.0,256.13,40.749722,-73.860556
162,USGS/NWIS,Water/Monitoring Well,-375.0,401.68,40.746389,-73.799722
163,USGS/NWIS,Water/Monitoring Well,-377.0,411.99,40.7475,-73.797222
165,USGS/NWIS,Water/Monitoring Well,-399.0,468.88,40.761389,-73.758056
261,USGS/NWIS,Water/Monitoring Well,-588.0,615.6,40.697222,-73.788611
406,USGS/NWIS,Water/Monitoring Well,-451.05,462.03,40.578611,-74.054444
407,USGS/NWIS,Water/Monitoring Well,-866.05,872.02,40.564444,-73.911111
782,USGS/NWIS,Water/Monitoring Well,-163.05,194.31,40.616667,-74.066111
783,USGS/NWIS,Water/Monitoring Well,-295.05,377.84,40.6225,-74.0225
1156,USGS/NWIS,Water/Monitoring Well,-208.05,219.44,40.655556,-74.013333
1160,USGS/NWIS,Water/Monitoring Well,-343.05,385.61,40.665,-73.923056
1349,USGS/NWIS,Water/Monitoring Well,-214.05,328.71,40.677222,-73.9625
6733,USGS,Water/Monitoring Well,-295.05,393.05,40.718889,-73.8825
6734,USGS/NWIS,Water/Monitoring Well,-422.05,499.94,40.706667,-73.858889
6735,USGS,Water/Monitoring Well,-430.05,510.37,40.7075,-73.851667
6736,USGS/NWIS,Water/Monitoring Well,-499.05,600.36,40.709444,-73.830833
6737,USGS/NWIS,Water/Monitoring Well,-441.05,468.45,40.715833,-73.826944
6738,USGS,Water/Monitoring Well,-451.05,529.39,40.7175,-73.820556
8569,USGS/NWIS,Water/Monitoring Well,-77.05,89.44,40.740556,-73.937222
8570,USGS/NWIS,Water/Monitoring Well,-46.05,61.22,40.743056,-73.935556
8571,USGS/NWIS,Water/Monitoring Well,-61.05,75.01,40.74,-73.9375
8572,USGS,Water/Monitoring Well,-30.05,44.02,40.74,-73.936111
8588,USGS,Water/Monitoring Well,-483.05,538.8,40.741389,-73.775556
9937,USGS/NWIS,Water/Monitoring Well,-11.05,42.32,40.745,-73.938333
9938,USGS/NWIS,Water/Monitoring Well,-13.05,43.42,40.745278,-73.933611
9974,USGS/NWIS,Water/Monitoring Well,-505.05,519.81,40.753056,-73.7425
9975,USGS/NWIS,Water/Monitoring Well,-499.05,508.97,40.756944,-73.743611
10376,USGS,Water/Monitoring Well,-160.05,186.75,40.77,-73.875833
10381,USGS,Water/Monitoring Well,-259.05,359.21,40.77,-73.809444
10382,USGS/NWIS,Water/Monitoring Well,-400.05,443.73,40.761389,-73.758056
10383,USGS/NWIS,Water/Monitoring Well,-394.05,437.73,40.761389,-73.758056
10384,USGS,Water/Monitoring Well,-382.05,444.69,40.77,-73.603056
10774,USGS,Water/Monitoring Well,-226.05,284.92,40.781944,-73.803611
14171,USGS/NWIS,Water/Monitoring Well,-445.05,587.863,40.871389,-73.6225
230,USGS/NWIS,Water/Monitoring Well,-541.0,539.98295,40.805833,-73.653889
231,USGS/NWIS,Water/Monitoring Well,-597.0,781.053,40.7875,-73.665278
232,USGS/NWIS,Water/Monitoring Well,-561.0,751.549,40.786944,-73.684722
233,USGS/NWIS,Water/Monitoring Well,-620.0,805.726,40.775278,-73.668611
236,USGS/NWIS,Water/Monitoring Well,-419.0,442.4249,40.780556,-73.735833
237,USGS/NWIS,Water/Monitoring Well,-441.0,555.631,40.785556,-73.725833
