Unique Key,Created Date,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Year,Month,Year_Month
45300388,2020-01-03 00:17:00,BROOKLYN,"999,503","180,726",40.66271470257,-73.94502153163,POINT (-73.94502153163 40.662714702569),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45304693,2020-01-03 12:11:00,QUEENS,"1,013,074","220,704",40.77241084559,-73.89593457201,POINT (-73.895934572014 40.772410845586),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45301509,2020-01-03 14:20:00,BROOKLYN,"1,001,768","157,444",40.59880636001,-73.9369179187,POINT (-73.936917918701 40.598806360012),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45301508,2020-01-03 14:24:00,BROOKLYN,"1,001,813","157,448",40.59881725014,-73.93675586397,POINT (-73.936755863966 40.598817250138),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45303569,2020-01-03 16:59:00,BROOKLYN,"982,106","162,656",40.61312928938,-74.00772217088,POINT (-74.007722170876 40.613129289384),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45300389,2020-01-03 17:05:00,BROOKLYN,"1,001,813","157,448",40.59881725014,-73.93675586397,POINT (-73.936755863966 40.598817250138),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45301523,2020-01-03 17:38:00,BROOKLYN,"982,322","162,489",40.61267095845,-74.0069441433,POINT (-74.006944143296 40.612670958446),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45303568,2020-01-03 18:18:00,BROOKLYN,"981,766","161,907",40.61107334985,-74.00894649334,POINT (-74.008946493338 40.61107334985),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45310291,2020-01-04 07:47:00,BROOKLYN,"1,001,855","203,922",40.72637796243,-73.9364832755,POINT (-73.936483275501 40.726377962433),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45313312,2020-01-04 16:04:00,BROOKLYN,"1,014,532","173,553",40.64298775102,-73.89088270548,POINT (-73.890882705483 40.642987751019),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45314324,2020-01-05 08:49:00,BROOKLYN,"999,503","180,726",40.66271470257,-73.94502153163,POINT (-73.94502153163 40.662714702569),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45317922,2020-01-05 09:53:00,BROOKLYN,"982,106","162,656",40.61312928938,-74.00772217088,POINT (-74.007722170876 40.613129289384),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45317765,2020-01-05 11:34:00,BROOKLYN,"981,052","175,167",40.64746902413,-74.01152435296,POINT (-74.011524352956 40.647469024133),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45318271,2020-01-05 11:44:00,QUEENS,"1,006,306","206,883",40.73449520099,-73.92041490449,POINT (-73.920414904491 40.734495200994),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45318270,2020-01-05 12:15:00,BROOKLYN,"982,322","162,489",40.61267095845,-74.0069441433,POINT (-74.006944143296 40.612670958446),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45317028,2020-01-05 14:28:00,QUEENS,"1,043,654","199,177",40.71317217295,-73.78571977364,POINT (-73.785719773638 40.713172172948),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45315429,2020-01-05 14:28:00,BROOKLYN,"1,001,975","203,932",40.72640517035,-73.93605030374,POINT (-73.936050303735 40.726405170352),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45315986,2020-01-05 14:43:00,BROOKLYN,"982,215","176,640",40.65151243316,-74.00733379598,POINT (-74.007333795983 40.651512433155),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
